date,besut,dungun,hulu-terengganu,kemaman,kuala-nerus,kuala-terengganu,marang,setiu,total-terengganu
21/3/2020,7,5,0,1,0,12,1,1,27
24/3/2020,12,5,0,2,1,16,1,1,38
25/3/2020,12,5,0,2,1,16,1,1,38
26/3/2020,13,5,0,2,1,16,1,1,39
27/3/2020,14,6,0,2,1,16,1,1,41
28/3/2020,14,8,0,3,1,17,1,1,45
29/3/2020,16,8,0,3,1,17,1,1,47
30/3/2020,16,8,0,3,1,17,1,1,47
31/3/2020,16,8,0,3,1,17,1,1,47
1/4/2020,17,8,0,3,1,17,1,1,48
2/4/2020,19,8,0,3,1,17,1,1,50
3/4/2020,24,17,0,3,1,17,1,5,68
4/4/2020,25,20,0,3,2,17,1,6,74
5/4/2020,26,27,0,4,2,17,1,7,84
6/4/2020,29,27,0,4,4,17,2,7,90
7/4/2020,29,27,0,4,4,17,2,7,90
8/4/2020,30,30,0,4,4,17,2,6,93
9/4/2020,31,32,0,4,4,17,2,8,98
10/4/2020,32,33,0,5,4,17,2,8,101
11/4/2020,32,33,0,5,4,18,2,8,102
12/4/2020,32,33,0,5,4,18,2,8,102
13/4/2020,32,37,0,5,4,18,2,8,106
14/4/2020,32,37,0,5,4,18,2,8,106
15/4/2020,32,37,0,5,4,18,2,8,106
16/4/2020,33,38,0,5,4,18,2,8,108
17/4/2020,33,38,0,5,4,18,2,8,108
18/4/2020,34,38,0,5,4,18,2,8,109
19/4/2020,34,38,0,5,4,18,2,8,109
20/4/2020,34,38,0,5,4,18,2,8,109
21/4/2020,34,38,0,5,4,18,2,8,109
22/4/2020,34,38,0,5,4,18,2,8,109
23/4/2020,35,38,0,5,4,18,2,8,110
24/4/2020,35,38,0,5,4,18,2,8,110
25/4/2020,35,38,0,5,4,18,2,8,110
26/4/2020,35,38,0,5,4,18,2,8,110
27/4/2020,35,38,0,5,4,18,2,8,110
